type,name,res_id,src,value,fuzzy
field,"sale.line,discount",0,Discount %,Rabatt %,0
model,"ir.action,name",report_sale_discount,Sale,Verkauf drucken,0
odt,sale.sale,0,%,%,0
odt,sale.sale,0,Amount,Betrag,0
odt,sale.sale,0,Date:,Datum:,0
odt,sale.sale,0,Description,Bezeichnung,0
odt,sale.sale,0,Description:,Bezeichnung:,0
odt,sale.sale,0,Discount,Rabatt,0
odt,sale.sale,0,Draft Sale Order,Auftrag (Entwurf),0
odt,sale.sale,0,E-Mail:,E-Mail:,0
odt,sale.sale,0,Phone:,Telefon:,0
odt,sale.sale,0,Quantity,Anzahl,0
odt,sale.sale,0,Quotation N°:,Angebot Nr.:,0
odt,sale.sale,0,Sale Order N°:,Auftrag Nr.:,0
odt,sale.sale,0,Taxes,Steuern,0
odt,sale.sale,0,Taxes:,Steuern:,0
odt,sale.sale,0,Total:,Gesamt:,0
odt,sale.sale,0,Total (excl. taxes):,Netto:,0
odt,sale.sale,0,Unit Price,Einzelpreis,0
odt,sale.sale,0,VAT:,USt-ID-Nr:,0
selection,"sale.line,type",0,Comment,Kommentar,0
